date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:27	52141/52141	---MCZ	200	added ('OK')	text/html	etag:W/%229cf0b041d63f2978d6117580962f0c13%22	https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM.html	(from )
17:05:28	153/153	---M--	200	added ('OK')	text/plain	date:Fri,%2004%20Oct%202019%2021:42:38%20GMT	https://studio.code.org/robots.txt		(from )
17:05:28	6815/6815	---MCZ	200	added ('OK')	text/css	etag:W/%227c54252c7089aa4f118191a7931a71bc%22	https://studio.code.org/assets/css/code-studio-8622262906818f5a1d99432d22633721c82ae826f8a5771960d72ee53a16f10c.css	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/assets/css/code-studio-8622262906818f5a1d99432d22633721c82ae826f8a5771960d72ee53a16f10c.css	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2015%20Jan%202021%2011:35:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/www.googletagmanager.com/gtm.45445.delayed	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:35	420289/420289	---MCZ	200	added ('OK')	text/css	etag:W/%22b4ccafdb26c27ced2140bfa32b09afd3%22	https://studio.code.org/assets/application-98fceb6b897d73e21fd751e0c8487e9d66972bf02c12b0815de40f226eacb1ea.css	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/assets/application-98fceb6b897d73e21fd751e0c8487e9d66972bf02c12b0815de40f226eacb1ea.css	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:35	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/www.google-analytics.com/analytics.js	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:35	2374/2374	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e81e6b7f7d7b7bdd7ab4b6696607e89%22	https://studio.code.org/assets/js/webpack-runtimewp0b0c2e4c8ed49d53281e.min.js	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/assets/js/webpack-runtimewp0b0c2e4c8ed49d53281e.min.js	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:35	316/316	---M--	200	added ('OK')	application/javascript	etag:%22ff03931ae1599deaced99e311a0c89c0%22	https://studio.code.org/assets/js/essentialwp6357f6f9cf75fec3d198.min.js	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/assets/js/essentialwp6357f6f9cf75fec3d198.min.js	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:35	702128/702128	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b08212a1c13f5a0b5997afd25ba362e2%22	https://studio.code.org/assets/js/vendorswp30cecf6916ce20835de4.min.js	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/assets/js/vendorswp30cecf6916ce20835de4.min.js	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
17:05:36	467081/467081	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b24ef693de0ee4700877b05c6dd6eaf2%22	https://studio.code.org/assets/application-f7ae4f4ad87aae40a5a38d48b1a3742e5f8e496e32486f134fc545acf3d0bb6b.js	C:/Users/dell%20%202/Desktop/Smart%20GK-Book/Smart%20GK-Book/studio.code.org/assets/application-f7ae4f4ad87aae40a5a38d48b1a3742e5f8e496e32486f134fc545acf3d0bb6b.js	(from https://studio.code.org/projects/applab/4D5bwYZpMwegFSJ_UHFCwQMD9uDV1Q6i4qu8O1qkjxM)
